0,Difference,Phase_4,Phase_5,Rank_4,Rank_5
1,0.029820014960069918,0.6103793611880545,0.6401993761481244,1.0,1.0
3,0.0030447772343930035,0.27263019292040486,0.27567497015479786,2.0,3.0
83,-0.14431036912403966,0.2710145304949886,0.12670416137094892,3.0,12.0
85,-0.07039642868853097,0.2516609399141991,0.1812645112256681,4.0,5.0
9,-0.09974725697628956,0.2059095271948662,0.10616227021857663,5.0,24.0
8,-0.0436085907170011,0.19447742465332268,0.15086883393632158,6.0,9.5
86,-0.1420526698352949,0.16621734240998515,0.024164672574690245,7.0,32.0
89,-0.006070500329803885,0.16285731175574905,0.15678681142594517,8.0,6.0
90,,0.1529696362948273,,9.0,
52,,0.15268960861181313,,11.0,
106,,0.15268960861181313,,11.0,
84,-0.030593996081836272,0.15268960861181313,0.12209561252997686,11.0,18.0
88,-0.11476670368859973,0.149336932150949,0.03457022846234928,13.5,30.0
76,0.0026605573676702354,0.149336932150949,0.15199748951861924,13.5,7.0
49,,0.1339529690454107,,15.0,
31,0.12575949122711058,0.11111414552030666,0.23687363674741724,16.0,4.0
13,-0.0638356223497832,0.10901142487376435,0.04517580252398115,17.0,29.0
47,0.01635573379073854,0.10573987873923832,0.12209561252997686,21.5,18.0
4,0.01635573379073854,0.10573987873923832,0.12209561252997686,21.5,18.0
15,0.01635573379073854,0.10573987873923832,0.12209561252997686,21.5,18.0
11,0.01635573379073854,0.10573987873923832,0.12209561252997686,21.5,18.0
2,0.01635573379073854,0.10573987873923832,0.12209561252997686,21.5,18.0
5,0.045128955197083265,0.10573987873923832,0.15086883393632158,21.5,9.5
6,0.045128955197083265,0.10573987873923832,0.15086883393632158,21.5,9.5
53,,0.10573987873923832,,21.5,
107,,0.07808832018945691,,26.0,
12,0.23374361024607082,0.04722975755558899,0.2809733678016598,27.0,2.0
35,,0.03369081256047083,,28.0,
7,0.001688786682469988,0.028213090306172417,0.029901876988642405,30.0,31.0
109,,0.028213090306172417,,30.0,
14,,0.028213090306172417,,30.0,
51,,0.01888493394629366,,32.0,
63,,0.013527733798172055,,33.0,
100,,,0.12209561252997686,,18.0
108,,,0.15086883393632158,,9.5
17,,,0.05358644398448343,,26.5
18,,,0.05358644398448343,,26.5
19,,,0.12209561252997686,,18.0
25,,,0.05358644398448343,,26.5
32,,,0.05358644398448343,,26.5
34,,,0.12209561252997686,,18.0
55,,,0.12209561252997686,,18.0
82,,,0.12209561252997686,,18.0
