OffenderID,EigenvectorC,#ofCrimes
596946,0.40559696399556305,36
610924,0.4041651805972148,46
626681,0.3698665006941301,31
608039,0.3280263427309019,27
593515,0.27768649432388254,55
627701,0.24539425586411845,37
630371,0.2205490915020228,41
591077,0.2113888754598492,37
582830,0.18433827433083716,19
643988,0.14573895781833915,24
632643,0.11475911097722716,11
627921,0.11181873006107837,10
596056,0.09928584777458785,33
605832,0.09903308518749505,29
623782,0.09810252095796579,7
590256,0.0969245492726104,38
636382,0.0932844389368542,4
635391,0.0932844389368542,3
604892,0.08799452747895095,4
609728,0.08488743465672978,67
610898,0.08398691170863185,20
563283,0.08369043879539244,13
598961,0.08369043879539244,2
583987,0.08369043879539244,3
604843,0.06792437361436954,53
612729,0.05750050781990967,6
633944,0.045669072496574585,28
592205,0.027228216396867237,24
610612,0.027144039503582733,42
507801,0.026498477668223833,21
561479,0.02617982009663606,7
611781,0.025557190105595606,23
548976,0.025439744581743466,18
631037,0.02315428840751926,2
605573,0.02142548033879581,9
611611,0.0205591074950127,7
616582,0.017577628969400832,2
618650,0.017577628969400832,4
624186,0.017577628969400832,13
596719,0.010102796448444272,24
584555,0.007730564684801415,4
607935,0.007444205602741291,15
596406,0.007179759481359256,19
582160,0.006643479296471077,8
598630,0.006643479296471077,7
595269,0.00562071260162336,28
604085,0.005487036241014174,4
555332,0.005267812665964754,8
213763,0.005267812665964754,11
559931,0.0044365780723354155,9
628662,0.003612332037881848,38
643287,0.0030924452241162426,42
636666,0.0028410936979358296,20
592064,0.0026388199965368636,12
642507,0.0026388199965368636,12
639523,0.0023746170553267804,30
648679,0.002289552784957161,13
624870,0.0022862673045641003,11
634941,0.0022862673045641003,17
597408,0.002092309030998967,6
621772,0.0015415038275568092,2
606328,0.0013914548729504561,10
652027,0.0009701695171457787,18
650691,0.0009510997640488164,2
601732,0.0006426702060135936,8
633584,0.0004939355831710201,3
